bin_id,sensor_id,reading_id,timestamp,fill_level_percent,bin_type,location_latitude,location_longitude,address_street,address_city,address_state,address_postal_code,address_country,battery_level_percent,bin_status,overflow_alert,alert_flag,alert_type,truck_available,route_efficiency,travel_time,urban_density_factor,waste_generation_index,bin_capacity_kg,bin_fill_percent,weight_kg,day_of_week,month,is_weekend,gas_level,temperature,rainfall,lag_1,lag_2,rolling_mean_7,next_day_waste_kg,peak_flag,date,hour,day_name,week_number,department,waste_source,shift,production_volume_index,estimated_pickup_cost,pickup_required,manager_approval_required,manager_approval_status,overflow_risk,vehicle_assignment_status,cost_saving_if_skipped,derived_peak_day
BIN-207,SNSR-8041,READ-30007,2024-06-01 12:05:00+00:00,47.7,recycling,1.3521,103.8198,Orchard Rd,Singapore,SG,238897,Singapore,82.9,active,False,0,,0,0.9085081386743784,40.47821669899484,0.8253996981592677,0.979358810879476,50,38.18202536948792,19.09101268474396,5,6,1,142.4808497920839,25.0,1,18.38772004215526,17.34173922097855,14.60939944520206,22.622629194956232,0,2024-06-01,12,Saturday,22,Production,Packaging and Production,Morning,1.13,99.59,0,0,Not Needed,Low,No Dispatch Needed,99.59,0
BIN-208,SNSR-8045,READ-30008,2024-06-01 13:19:00+00:00,85.1,organic,41.9028,12.4964,Via del Corso,Rome,RM,00186,Italy,49.3,active,False,0,,1,0.6296178606936361,35.13395116144308,1.2464914051180245,1.025586780824546,50,45.24525838991247,22.622629194956232,5,6,1,184.532950976016,25.0,5,19.09101268474396,18.38772004215526,16.868219270772126,25.22653173605746,0,2024-06-01,13,Saturday,22,Cafeteria,Food Waste Area,Morning,1.18,94.91,1,0,Not Needed,Medium,Vehicle Ready,0.0,0
BIN-209,SNSR-8051,READ-30009,2024-06-01 14:45:00+00:00,0.0,other,34.0522,-118.2437,Sunset Blvd,Los Angeles,CA,90028,USA,8.2,out_of_service,False,0,,1,0.7433862914177091,12.573937562499466,1.1496328990472149,0.8719247512769707,50,50.45306347211493,25.22653173605746,5,6,1,189.9373334461795,25.0,10,22.622629194956232,19.09101268474396,18.95223944900884,28.20478575834362,0,2024-06-01,14,Saturday,22,Storage,Warehouse Utility Area,Evening,0.87,57.95,0,0,Not Needed,Low,No Dispatch Needed,57.95,0
BIN-210,SNSR-8054,READ-30010,2024-06-01 15:03:00+00:00,75.3,hazardous,52.3676,4.9041,Damrak,Amsterdam,NH,1012,Netherlands,38.7,active,False,0,,1,0.6463476238100518,23.93232321183057,1.349223410494178,1.0544999563414064,50,56.40957151668725,28.20478575834362,5,6,1,205.9456480805713,25.0,15,25.22653173605746,22.622629194956232,21.02429894523787,28.776831488378928,0,2024-06-01,15,Saturday,22,Quality Lab,Chemical Handling Area,Evening,1.05,117.56,0,1,Pending,Medium,No Dispatch Needed,117.56,0
BIN-211,SNSR-8057,READ-30011,2024-06-01 16:22:00+00:00,36.6,general,40.7128,-74.006,Broadway,New York,NY,10007,USA,57.1,active,False,0,,0,0.9452413703502374,55.41329429833269,1.1576128923003433,0.7183001499634296,50,57.55366297675786,28.776831488378928,5,6,1,222.0987196878792,25.0,15,28.20478575834362,25.22653173605746,22.807321446516283,32.67151597094591,0,2024-06-01,16,Saturday,22,Administration,Office Block,Evening,0.72,140.03,0,1,Pending,Low,No Dispatch Needed,140.03,0
BIN-212,SNSR-8062,READ-30012,2024-06-01 17:44:00+00:00,10.5,organic,43.6532,-79.3832,Queen St W,Toronto,ON,M5H 2N2,Canada,16.9,maintenance,False,1,Overflow Warning,1,0.8493192507310232,21.97809453334862,1.0683086033354716,0.7224089132495286,50,65.34303194189182,32.67151597094591,5,6,1,228.84343231003007,25.0,0,28.776831488378928,28.20478575834362,24.99728955365449,36.08506521374738,0,2024-06-01,17,Saturday,22,Cafeteria,Food Waste Area,Evening,0.72,85.3,0,0,Not Needed,Low,No Dispatch Needed,85.3,0
BIN-213,SNSR-8068,READ-30013,2024-06-01 18:05:00+00:00,99.9,recycling,51.5074,-0.1278,Oxford St,London,ENG,W1D 1BS,UK,12.8,out_of_service,True,0,,1,0.7323592099410596,17.244743604561155,0.5936747678280925,1.193560336395795,50,72.17013042749477,36.08506521374738,5,6,1,263.18875463632776,25.0,8,32.67151597094591,28.776831488378928,27.525481721024786,37.32825210112135,0,2024-06-01,18,Saturday,22,Production,Packaging and Production,Evening,1.19,81.56,1,0,Not Needed,High,Vehicle Ready,0.0,0
BIN-214,SNSR-8073,READ-30014,2024-06-01 19:23:00+00:00,53.2,hazardous,-22.9068,-43.1729,Avenida Atlântica,Rio de Janeiro,RJ,22010-000,Brazil,44.9,active,False,0,,1,0.6254233401144095,34.472638013878154,0.8677158030594335,0.9161143848467576,50,74.6565042022427,37.32825210112135,5,6,1,266.34200368135987,25.0,5,36.08506521374738,32.67151597094591,30.130801637650126,38.4646394863462,0,2024-06-01,19,Saturday,22,Quality Lab,Chemical Handling Area,Evening,0.92,149.31,0,1,Pending,Low,No Dispatch Needed,149.31,0
BIN-215,SNSR-8078,READ-30015,2024-06-01 20:49:00+00:00,81.0,organic,59.3293,18.0686,Drottninggatan,Stockholm,ST,111 51,Sweden,51.3,active,False,0,,1,0.7243929286862649,59.28252270553004,0.7652023676817254,0.7762363075911308,50,76.9292789726924,38.4646394863462,5,6,1,262.4851979059533,25.0,15,37.32825210112135,36.08506521374738,32.393945964991545,39.60655527083322,0,2024-06-01,20,Saturday,22,Cafeteria,Food Waste Area,Evening,0.78,160.56,1,1,Pending,Medium,Vehicle Ready,0.0,0
BIN-216,SNSR-8083,READ-30016,2024-06-01 21:10:00+00:00,17.7,other,37.7749,-122.4194,Market St,San Francisco,CA,94103,USA,12.1,maintenance,False,0,,1,0.7300733288106989,22.10276357557502,0.7439896433790836,1.0133459560328826,50,79.21311054166644,39.60655527083322,5,6,1,277.0329016647738,25.0,2,38.4646394863462,37.32825210112135,34.44823504138809,41.1714031211916,0,2024-06-01,21,Saturday,22,Storage,Warehouse Utility Area,Evening,1.01,95.23,0,0,Not Needed,Low,No Dispatch Needed,95.23,0
BIN-217,SNSR-8088,READ-30017,2024-06-01 22:36:00+00:00,90.3,general,28.7041,77.1025,Connaught Place,Delhi,DL,110001,India,18.9,maintenance,True,0,,1,0.8918424713352255,43.606777370293926,1.4730105547524457,1.1619961318591665,50,82.3428062423832,41.1714031211916,5,6,1,294.8121269971959,25.0,19,39.60655527083322,38.4646394863462,36.30060895036637,43.50805063190443,1,2024-06-01,22,Saturday,22,Administration,Office Block,Night,0.93,136.13,1,1,Pending,High,Vehicle Ready,0.0,0
BIN-218,SNSR-8094,READ-30018,2024-06-01 23:10:00+00:00,70.4,recycling,35.6762,139.6503,Harajuku,Tokyo,Tokyo,150-0001,Japan,37.2,active,False,0,,1,0.8550229885420852,48.08098076643588,0.8930977246667604,0.8294926164981059,50,87.01610126380886,43.50805063190443,5,6,1,307.4130675025941,25.0,3,41.1714031211916,39.60655527083322,38.40506882801287,45.51985819715184,1,2024-06-01,23,Saturday,22,Production,Packaging and Production,Night,0.66,147.46,0,1,Pending,Medium,No Dispatch Needed,147.46,0
BIN-219,SNSR-8099,READ-30019,2024-06-02 00:05:00+00:00,6.4,organic,48.2082,16.3738,Graben,Vienna,W,1010,Austria,14.6,out_of_service,False,0,,1,0.9548850970305306,21.881877199619986,1.3920465551771133,1.0737342854914005,50,91.03971639430368,45.51985819715184,6,6,1,325.08262320597873,25.0,18,43.50805063190443,41.1714031211916,40.24054628889944,47.03916018784498,1,2024-06-02,0,Sunday,22,Cafeteria,Food Waste Area,Night,0.86,103.12,0,0,Not Needed,Low,No Dispatch Needed,103.12,0
BIN-001,SNSR-1001,READ-00001,2024-06-03 07:34:15+00:00,12.3,general,40.7128,-74.006,123 Broadway,New York,NY,10007,USA,83.5,active,False,0,,1,0.6478376983753207,28.38915663596266,1.2948113035416484,0.7310090327011646,50,7.092407909780627,3.5462039548903137,0,6,0,88.25559375835526,25.0,18,47.03916018784498,45.51985819715184,36.9794101214518,5.068710224763578,0,2024-06-03,7,Monday,23,Administration,Office Block,Morning,0.84,56.07,0,0,Not Needed,Low,No Dispatch Needed,56.07,0
BIN-002,SNSR-1002,READ-00002,2024-06-03 09:21:47+00:00,69.4,recycling,51.5074,-0.1278,456 Piccadilly,London,England,W1J 9HS,UK,61.2,active,False,0,,1,0.885297914889198,41.61529152967897,1.002637093105192,1.0188127789408887,50,10.137420449527156,5.068710224763578,0,6,0,63.04913490804246,25.0,19,3.5462039548903137,47.03916018784498,32.208563084082854,6.8509766762914985,0,2024-06-03,9,Monday,23,Production,Packaging and Production,Morning,1.17,82.0,0,0,Not Needed,Low,No Dispatch Needed,82.0,0
BIN-003,SNSR-1003,READ-00003,2024-06-03 11:10:32+00:00,95.1,organic,35.6895,139.6917,789 Shibuya,Tokyo,Tokyo,150-0002,Japan,17.8,maintenance,True,0,,1,0.9043140194467588,41.67648553804473,1.076903884626359,1.0243810729660638,50,13.701953352582995,6.8509766762914985,0,6,0,77.91675293762738,25.0,6,5.068710224763578,3.5462039548903137,27.52919471343404,8.947221621051124,0,2024-06-03,11,Monday,23,Cafeteria,Food Waste Area,Morning,1.18,84.61,1,0,Not Needed,High,Vehicle Ready,0.0,0
BIN-004,SNSR-1004,READ-00004,2024-06-03 13:58:06+00:00,8.6,hazardous,52.52,13.405,23 Alexanderplatz,Berlin,BE,10178,Germany,13.4,out_of_service,False,0,,1,0.8245108790277985,36.78873420373792,0.992517693818864,1.082457940898924,50,17.89444324210225,8.947221621051124,0,6,0,93.19641702650878,25.0,19,6.8509766762914985,5.068710224763578,22.925740213413967,12.195337485926672,0,2024-06-03,13,Monday,23,Quality Lab,Chemical Handling Area,Morning,1.24,113.75,0,1,Pending,Low,No Dispatch Needed,113.75,0
BIN-005,SNSR-1005,READ-00005,2024-06-03 15:46:51+00:00,46.2,other,-33.8688,151.2093,55 George St,Sydney,NSW,2000,Australia,58.7,active,False,0,,1,0.9083868719818244,14.514488502720416,0.6952429877980445,1.1356548002335969,50,24.390674971853343,12.195337485926672,0,6,0,101.8220212468288,25.0,8,8.947221621051124,6.8509766762914985,18.452495478274283,13.394195723480932,0,2024-06-03,15,Monday,23,Storage,Warehouse Utility Area,Evening,1.14,43.2,0,0,Not Needed,Low,No Dispatch Needed,43.2,0
